wandb:initialized
warmup_step:1/5
warmup_step:2/5
warmup_step:3/5
warmup_step:4/5
warmup_step:5/5
step:0/50 val_loss:6.9304 val_bpb:4.1046 train_time:0ms step_avg:0.02ms h_norms=['9829.5', '10906.5', '12074.5', '13339.5', '14586.6', '8110.7', '9182.3', '10321.5', '11532.3', '12712.6', '8125.6', '9210.3', '10362.9', '11582.1', '12773.0', '8128.7', '9216.6', '10372.5', '11592.1', '12787.0'] growth=['1.111', '1.110', '1.107', '1.105', '1.093', '1.143', '1.132', '1.124', '1.117', '1.102', '1.145', '1.133', '1.125', '1.118', '1.103', '1.146', '1.134', '1.125', '1.118', '1.103']
step:1/50 train_loss:6.9310 train_time:3144ms step_avg:3143.65ms
step:2/50 train_loss:8.3561 train_time:6272ms step_avg:3135.84ms
step:3/50 train_loss:7.5194 train_time:9433ms step_avg:3144.22ms
step:4/50 train_loss:7.4222 train_time:12595ms step_avg:3148.75ms
step:5/50 train_loss:7.2305 train_time:15755ms step_avg:3151.08ms
step:6/50 train_loss:7.1013 train_time:18919ms step_avg:3153.09ms
step:7/50 train_loss:7.0637 train_time:22082ms step_avg:3154.61ms
step:8/50 train_loss:6.9894 train_time:25245ms step_avg:3155.59ms
step:9/50 train_loss:6.6143 train_time:28406ms step_avg:3156.21ms
step:10/50 train_loss:6.2371 train_time:31569ms step_avg:3156.90ms
step:20/50 train_loss:4.8567 train_time:63180ms step_avg:3158.98ms
step:25/50 val_loss:4.3859 val_bpb:2.5976 train_time:89760ms step_avg:3590.41ms h_norms=['15124.4', '18985.0', '24623.8', '32563.5', '43308.4', '10881.2', '15824.5', '22366.4', '31313.8', '43085.3', '10968.9', '16075.0', '22846.2', '32046.9', '44227.1', '10951.1', '16019.2', '22824.3', '32056.4', '44286.6'] growth=['1.193', '1.255', '1.297', '1.322', '1.330', '1.534', '1.454', '1.413', '1.400', '1.376', '1.546', '1.466', '1.421', '1.403', '1.380', '1.544', '1.463', '1.425', '1.404', '1.382']
step:30/50 train_loss:4.2191 train_time:125306ms step_avg:4176.87ms
step:40/50 train_loss:3.9125 train_time:196653ms step_avg:4916.32ms
step:50/50 train_loss:3.7387 train_time:273924ms step_avg:5478.49ms
