wandb:initialized
warmup_step:1/5
warmup_step:2/5
warmup_step:3/5
warmup_step:4/5
warmup_step:5/5
step:0/50 val_loss:6.9304 val_bpb:4.1046 train_time:0ms step_avg:0.02ms h_norms=['10161.7', '11313.4', '12557.3', '13898.0', '15219.9', '16827.9', '18528.4', '20318.6', '22230.4', '24153.9', '22046.5', '24114.3', '26314.0', '28667.9', '31058.9'] growth=['1.116', '1.113', '1.110', '1.107', '1.095', '1.106', '1.101', '1.097', '1.094', '1.087', '1.098', '1.094', '1.091', '1.089', '1.083']
step:1/50 train_loss:6.9310 train_time:6304ms step_avg:6303.72ms
step:2/50 train_loss:8.4504 train_time:12557ms step_avg:6278.34ms
step:3/50 train_loss:7.5634 train_time:18879ms step_avg:6293.09ms
step:4/50 train_loss:7.3652 train_time:25104ms step_avg:6276.05ms
step:5/50 train_loss:7.1863 train_time:30783ms step_avg:6156.62ms
step:6/50 train_loss:7.1201 train_time:36471ms step_avg:6078.55ms
step:7/50 train_loss:7.1222 train_time:42201ms step_avg:6028.70ms
step:8/50 train_loss:7.0087 train_time:47839ms step_avg:5979.83ms
step:9/50 train_loss:6.6202 train_time:53571ms step_avg:5952.33ms
step:10/50 train_loss:6.2665 train_time:59252ms step_avg:5925.21ms
step:20/50 train_loss:5.1492 train_time:116187ms step_avg:5809.33ms
