wandb:initialized
warmup_step:1/5
warmup_step:2/5
warmup_step:3/5
warmup_step:4/5
warmup_step:5/5
step:0/50 val_loss:6.9304 val_bpb:4.1046 train_time:0ms step_avg:0.01ms h_norms=['9917.9', '10757.9', '11684.5', '12697.7', '13792.7', '14968.7', '16232.0', '17584.0', '19026.6', '20567.1', '18830.4', '20360.3', '21989.6', '23732.8', '25596.8', '23508.1', '25360.6', '27334.0', '29434.0', '31674.1'] growth=['1.081', '1.085', '1.086', '1.087', '1.086', '1.085', '1.084', '1.083', '1.082', '1.081', '1.082', '1.081', '1.080', '1.079', '1.079', '1.079', '1.079', '1.078', '1.077', '1.076']
step:1/50 train_loss:6.9310 train_time:3149ms step_avg:3148.80ms
step:2/50 train_loss:8.4139 train_time:6265ms step_avg:3132.33ms
step:3/50 train_loss:7.5940 train_time:9413ms step_avg:3137.77ms
step:4/50 train_loss:7.3379 train_time:12563ms step_avg:3140.75ms
step:5/50 train_loss:7.1846 train_time:15710ms step_avg:3142.03ms
step:6/50 train_loss:7.1330 train_time:18856ms step_avg:3142.72ms
step:7/50 train_loss:7.0579 train_time:22001ms step_avg:3142.94ms
step:8/50 train_loss:6.8826 train_time:25148ms step_avg:3143.55ms
step:9/50 train_loss:6.5374 train_time:28300ms step_avg:3144.44ms
step:10/50 train_loss:6.1407 train_time:31445ms step_avg:3144.50ms
step:20/50 train_loss:4.7836 train_time:62947ms step_avg:3147.35ms
