wandb:initialized
warmup_step:1/5
warmup_step:2/5
warmup_step:3/5
warmup_step:4/5
warmup_step:5/5
step:0/50 val_loss:6.9304 val_bpb:4.1046 train_time:0ms step_avg:0.02ms h_norms=['9459.8', '10026.0', '10638.5', '11293.0', '11994.1', '12754.8', '13546.4', '14370.5', '15234.0', '16144.6', '14936.2', '15835.7', '16776.4', '17764.6', '18807.4', '17439.0', '18467.7', '19543.9', '20664.7', '21838.3', '20287.3', '21442.5', '22656.2', '23915.0', '25239.7', '23491.8', '24792.6', '26161.8', '27579.4', '29075.0'] growth=['1.057', '1.060', '1.061', '1.062', '1.062', '1.063', '1.062', '1.061', '1.060', '1.060', '1.061', '1.060', '1.059', '1.059', '1.059', '1.060', '1.059', '1.058', '1.057', '1.057', '1.058', '1.057', '1.057', '1.056', '1.055', '1.057', '1.055', '1.055', '1.054', '1.054']
step:1/50 train_loss:6.9310 train_time:4157ms step_avg:4156.91ms
step:2/50 train_loss:8.1611 train_time:8307ms step_avg:4153.58ms
step:3/50 train_loss:7.5076 train_time:12490ms step_avg:4163.29ms
step:4/50 train_loss:7.6959 train_time:16672ms step_avg:4167.94ms
step:5/50 train_loss:7.4174 train_time:20854ms step_avg:4170.71ms
step:6/50 train_loss:7.1131 train_time:25035ms step_avg:4172.58ms
step:7/50 train_loss:6.9487 train_time:29219ms step_avg:4174.14ms
step:8/50 train_loss:6.7735 train_time:33402ms step_avg:4175.31ms
step:9/50 train_loss:6.4261 train_time:37586ms step_avg:4176.27ms
step:10/50 train_loss:6.0743 train_time:41771ms step_avg:4177.07ms
step:20/50 train_loss:4.7079 train_time:83751ms step_avg:4187.54ms
step:25/50 val_loss:4.2787 val_bpb:2.5341 t
