wandb:initialized
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/500 val_loss:6.9292 val_bpb:4.1038 train_time:0ms step_avg:0.02ms
step:1/500 train_loss:6.9303 grad_norm:0.3807 train_time:3131ms step_avg:3130.65ms
step:2/500 train_loss:6.0630 grad_norm:0.8852 train_time:6251ms step_avg:3125.47ms
step:3/500 train_loss:6.2767 grad_norm:1.1566 train_time:9401ms step_avg:3133.57ms
step:4/500 train_loss:6.8246 grad_norm:2.3769 train_time:12551ms step_avg:3137.76ms
step:5/500 train_loss:7.1034 grad_norm:2.4893 train_time:15703ms step_avg:3140.51ms
step:6/500 train_loss:6.7987 grad_norm:1.9131 train_time:18852ms step_avg:3142.07ms
step:7/500 train_loss:6.8808 grad_norm:2.6979 train_time:22000ms step_avg:3142.92ms
step:8/500 train_loss:6.8119 grad_norm:2.5149 train_time:25150ms step_avg:3143.70ms
step:9/500 train_loss:6.6692 grad_norm:1.6300 train_time:28301ms step_avg:3144.53ms
step:10/500 train_loss:6.4778 grad_norm:2.4469 train_time:31451ms step_avg:3145.07ms
step:20/500 train_loss:5.0602 grad_norm:1.3291 train_time:62943ms step_avg:3147.14ms
step:30/500 train_loss:4.8216 grad_norm:2.0738 train_time:94481ms step_avg:3149.37ms
step:40/500 train_loss:4.1574 grad_norm:1.0588 train_time:126107ms step_avg:3152.67ms
step:50/500 train_loss:3.8998 grad_norm:0.9799 train_time:157602ms step_avg:3152.05ms
step:50/500 val_loss:3.8491 val_bpb:2.2797 train_time:157634ms step_avg:3152.68ms h_norms=['62087.4', '62948.8', '63328.1', '64415.2', '65555.9', '88174.0', '99297.2', '117964.5', '117972.9', '117057.8', '94021.8', '103414.3', '113567.6', '119372.5', '124603.3', '83857.0', '106503.6', '121953.5', '119428.6', '122676.6'] growth=['0.982', '1.014', '1.006', '1.017', '1.018', '1.345', '1.126', '1.188', '1.000', '0.992', '1.392', '1.100', '1.098', '1.051', '1.044', '1.165', '1.270', '1.145', '0.979', '1.027']
step:60/500 train_loss:3.6849 grad_norm:0.5692 train_time:189133ms step_avg:3152.22ms
step:70/500 train_loss:3.5871 grad_norm:0.6241 train_time:220645ms step_avg:3152.08ms
step:80/500 train_loss:3.5228 grad_norm:0.4259 train_time:252153ms step_avg:3151.92ms
step:90/500 train_loss:3.3905 grad_norm:0.5294 train_time:283679ms step_avg:3151.99ms
step:100/500 train_loss:3.3403 grad_norm:0.4869 train_time:315174ms step_avg:3151.74ms
step:100/500 val_loss:3.3095 val_bpb:1.9601 train_time:315205ms step_avg:3152.05ms h_norms=['57455.8', '58322.8', '59194.5', '60695.2', '61908.6', '74000.3', '96013.6', '104985.8', '108845.2', '110765.5', '83814.2', '95809.5', '103009.6', '108539.2', '113703.6', '75220.7', '86779.0', '96119.3', '103205.4', '107897.3'] growth=['0.983', '1.015', '1.015', '1.025', '1.020', '1.195', '1.297', '1.093', '1.037', '1.018', '1.346', '1.143', '1.075', '1.054', '1.048', '1.182', '1.154', '1.108', '1.074', '1.045']
step:110/500 train_loss:3.2594 grad_norm:0.5430 train_time:346619ms step_avg:3151.08ms
step:120/500 train_loss:3.1627 grad_norm:0.3443 train_time:378074ms step_avg:3150.62ms
step:130/500 train_loss:3.0993 grad_norm:0.4013 train_time:409594ms step_avg:3150.72ms
step:140/500 train_loss:3.0509 grad_norm:0.4336 train_time:441106ms step_avg:3150.76ms
step:150/500 train_loss:2.9906 grad_norm:0.4297 train_time:472653ms step_avg:3151.02ms
